wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
991,53.474999999999994,52.875,56.125,54.0,57.5,51.7
992,54.02499999999999,53.0,56.199999999999996,54.36666666666667,57.875,51.760000000000005
993,54.175000000000004,53.325,56.275,54.79999999999999,58.675,52.08
994,54.775000000000006,53.625,56.400000000000006,55.53333333333334,59.699999999999996,52.17999999999999
995,55.75,54.775000000000006,56.625,55.833333333333336,60.099999999999994,53.220000000000006
996,56.00000000000001,56.05,57.45,56.03333333333333,60.3,53.78000000000001
997,55.900000000000006,56.325,58.199999999999996,56.13333333333333,60.4,54.06
998,55.75,56.175,58.74999999999999,56.366666666666674,60.3,54.1
999,55.72500000000001,55.974999999999994,60.125,56.43333333333334,60.275000000000006,54.14
1000.00,55.225,55.475,60.324999999999996,56.4,60.0,53.980000000000004
1001.00,54.9,54.7,59.775,56.300000000000004,59.6,53.660000000000004
1002.00,54.775000000000006,54.474999999999994,58.775,55.73333333333334,59.45,53.4
1003.00,54.675,54.225,58.27499999999999,55.633333333333326,59.175000000000004,53.14000000000001
1004.00,54.65,54.2,58.05,55.56666666666666,59.05,52.959999999999994
1005.00,54.574999999999996,54.099999999999994,57.775000000000006,55.53333333333334,58.925,52.86
1006.00,54.475,54.075,57.625,55.53333333333333,58.9,52.739999999999995
1007.00,54.474999999999994,54.099999999999994,57.625,55.46666666666667,58.9,52.660000000000004
1008.00,54.52499999999999,54.075,57.625,55.46666666666667,58.875,52.67999999999999
1009.00,54.52499999999999,54.0,57.575,55.43333333333334,58.9,52.720000000000006
1010.00,54.55,54.0,57.599999999999994,55.36666666666667,58.85,52.7
1011.00,54.60000000000001,54.05,57.425000000000004,55.46666666666667,58.875,52.660000000000004
1012.00,54.575,54.075,57.45,55.46666666666667,58.925,52.67999999999999
1013.00,54.7,54.35,57.475,55.56666666666666,59.125,52.720000000000006
1014.00,54.7,54.574999999999996,57.475,55.63333333333333,59.25,52.92
1015.00,54.85,54.824999999999996,57.875,55.699999999999996,59.37500000000001,53.18000000000001
